cruise,type::cruise,datatype::cruise,xml:lang::cruise,cruise_id,type::cruise_id,datatype::cruise_id,xml:lang::cruise_id,doi,type::doi,datatype::doi,xml:lang::doi
http://data.rvdata.us/id/cruise/KM1227,uri,,,KM1227,literal,,,10.7284/903722,literal,,
http://data.rvdata.us/id/cruise/KM1302,uri,,,KM1302,literal,,,10.7284/903320,literal,,
http://data.rvdata.us/id/cruise/KM1305,uri,,,KM1305,literal,,,10.7284/903335,literal,,
http://data.rvdata.us/id/cruise/KM1308,uri,,,KM1308,literal,,,10.7284/903333,literal,,
http://data.rvdata.us/id/cruise/KM1311,uri,,,KM1311,literal,,,10.7284/903321,literal,,
http://data.rvdata.us/id/cruise/KM1315,uri,,,KM1315,literal,,,10.7284/903322,literal,,
http://data.rvdata.us/id/cruise/KM1317,uri,,,KM1317,literal,,,10.7284/903334,literal,,
http://data.rvdata.us/id/cruise/KM1319,uri,,,KM1319,literal,,,10.7284/903336,literal,,
http://data.rvdata.us/id/cruise/KM1321,uri,,,KM1321,literal,,,10.7284/903312,literal,,
http://data.rvdata.us/id/cruise/KM1323,uri,,,KM1323,literal,,,10.7284/903311,literal,,
http://data.rvdata.us/id/cruise/KM1402,uri,,,KM1402,literal,,,10.7284/903318,literal,,
http://data.rvdata.us/id/cruise/KM1406,uri,,,KM1406,literal,,,10.7284/904082,literal,,
http://data.rvdata.us/id/cruise/KM1408,uri,,,KM1408,literal,,,10.7284/903314,literal,,
http://data.rvdata.us/id/cruise/KM1410,uri,,,KM1410,literal,,,10.7284/903010,literal,,
http://data.rvdata.us/id/cruise/KM1414,uri,,,KM1414,literal,,,10.7284/902644,literal,,
http://data.rvdata.us/id/cruise/KM1419,uri,,,KM1419,literal,,,10.7284/904084,literal,,
http://data.rvdata.us/id/cruise/KM1421,uri,,,KM1421,literal,,,10.7284/904791,literal,,
http://data.rvdata.us/id/cruise/KM1425,uri,,,KM1425,literal,,,10.7284/902179,literal,,
http://data.rvdata.us/id/cruise/KM1428,uri,,,KM1428,literal,,,10.7284/904792,literal,,
http://data.rvdata.us/id/cruise/KM1504,uri,,,KM1504,literal,,,10.7284/900798,literal,,
http://data.rvdata.us/id/cruise/KM1508,uri,,,KM1508,literal,,,10.7284/901823,literal,,
http://data.rvdata.us/id/cruise/KM1510,uri,,,KM1510,literal,,,10.7284/906351,literal,,
http://data.rvdata.us/id/cruise/KM1512,uri,,,KM1512,literal,,,10.7284/906353,literal,,
http://data.rvdata.us/id/cruise/KM1518,uri,,,KM1518,literal,,,10.7284/906359,literal,,
